ID,site,area,section,block,house,room,cisi,m77id,excavation,idno,reference,period,phase,boss,shape,depth,crossx,type,color,horizontal,vertical,thickness,horizontalmm,verticalmm,thicknessminmm,thicknessmaxmm,material,museum,textcondition,artefactpreservation,cult,symbol,notes,inscribedsides,stylegroup,class,lines,direction,signs,complete,alignment,signheight,images,text,keywords,symbol,symbolsubtype,animalfacing,cultobject,complete,images
35,Banawali,,,,,,,0,BNL 5132,,,,,PBRF,square,,rectangular,SEAL:S,,,,,18.5,18.5,4,8,Steatite,,Good,complete,Othr,Goat:2,,1,,UC,1,, ,1,Y,Indefinable,Indefinable,+411+,Goat:2,Goat,Goat:2,L,Othr,Y,,
36,Banawali,,,,,,,9202,BNL 1847,,DAH. Konasukawa 2020: 51.,II,,PBRF,square,,,SEAL:S,,,,,19,19,6.5,11.8,Steatite,,Good,complete,None,Rhin,,1,,SS,1,R/L,  ,2,Y,Linear,Indefinable,+002-817+,Rhin,Rhin,Rhin,L,None,Y,,
37,Banawali,,,,,,,9201,BNL 9201,,Konasukawa (2013), DAH,II,,PBSG,square,,,SEAL:S,,,,,29.5,29.5,7.9,17.8,Steatite,,Fair,complete,HBF,Htgr,,1,,SC,1,R/L,    ,4,Y,Partly linear,Equal,+236-002-308-090+,Htgr,Htgr,Htgr,L,HBF,Y,,
38,Banawali,,,,,,,0,BNL 9206,,Konasukawa (2013),II,,PB,square,,,SEAL:S,,,,,0,0,6.5,0,,,Poor,fragment,,,,1,,UC,1,R/L,   ,3,N,Unordered,Unequal,]000-002-861+,,
39,Banawali,,,,,,,0,,,,,,PB,square,,,SEAL:S,,,,,0,0,0,0,,,Fair,complete,None,None,,1,,UC,1,R/L,  ,2,Y,Linear,Equal,+740-803+,,
40,Banawali,,,,,,,9205,BNL 9205,,Konasukawa (2013), DAH,II,,PN,cuboid-convex,,plano-convex,SEAL:R,,,,,26.9,13.1,0,9,Steatite,,Fair,complete,None,None,,1,,SP,1,R/L,    ,4,Y,Linear,Equal,+426-003-060-692+,,
41,Banawali,,,,,,,0,BNL1 3378,,,,,,,,,TAG,,,,,0,0,0,0,,,Poor,chipped,None,Scene,,1,,??,1,T/B,   ,3,?,Indefinable,Unequal,+520-220-002[,Scene, Anth, Goat:1, Bull1,Scene,Scene,,None,Y,,
42,Banawali,,,,,,,9211,,Figure 4.4,Konasukawa (2013), DAH,II,,,prism,,triangular,TAB:B,,,,,0,0,0,0,,,Poor,fragment,None,Scene,,1,,UC,1,,        ,8,N,,,]906-090-000-158-900-380-484-900+,Scene, Anth, Phyt,Anth,Anth,,,N,,
43,Banawali,,,,,,,0,BNL1 170/84,,,,,,,,,MISC,,,,,0,0,0,0,,,Poor,complete,None,None,,1,,2L,2,,      ,5,N,,,+000-000/000-031-700+,,
44,Banawali,,,,,,,9221,BNL,,DAH,,,,,,,POT:T:g,,,,,0,0,0,0,Clay,,Poor,fragment,None,None,,1,,SC,1,,   ,3,Y,,,+374-308-350+,,
45,Banawali,,,,,,,9222,BNL,,,,,,,,,POT:T:g,,,,,0,0,0,0,Clay,,Poor,fragment,None,None,Original at the Department of Archaeology, Hayana State, Chandigarh (Mahadevan 1977:24).,1,,UC,1,, ,1,?,Indefinable,Indefinable,+748[,,
46,Banawali,,,,,,,0,BNL,,,,,,,,,POT:T:g,,,,,0,0,0,0,Clay,,Poor,fragment,None,None,,1,,??,1,,  ,2,N,,,+740-000[,,
47,Banawali,,,,,,,0,BNL,,,,,,,,,POT:T:g,,,,,0,0,0,0,Clay,,Poor,fragment,None,None,,1,,UC,1,, ,1,Y,Indefinable,Indefinable,+234+,,
48,Banawali,,,,,,,0,BNL,,,,,,,,,POT:T:g,,,,,0,0,0,0,Clay,,Poor,fragment,None,None,,1,,??,1,,  ,2,N,,,+700-000+,,
49,Bhirrana,,,,,,<  ,0,,,K.N. Dikshit Puratattva No.38, 2008,,,,,,,MISC,,,,,0,0,0,0,Clay,,Poor,complete,None,,,1,,UC,1,T/B,   ,3,N,,,+000-000-000+,,
50,Bhirrana,,,,,,<  ,0,,,Rao et al. 2004,,,,square,,,SEAL:S,,,,,21,20,0,0,,,Fine,complete,None,Buff,,1,,SS,1,L/R,   ,3,Y,Linear,Indefinable,+390-003-003+,Buff,Buff,Buff,L,None,Y,,
51,Bhirrana,,,,,,<  ,0,,,Rao et al. 2004,,,,square,,,SEAL:S,,,,,18,18,0,0,,,Good,complete,S390,Goat:5,,1,,NU,1,, ,1,Y,Indefinable,Indefinable,+006+,Goat:5,Goat,Goat:5,L,S390,Y,,
52,Bhirrana,,,,,,<  ,0,,,,,,,square,,,SEAL:S,,,,,0,0,0,0,,,Good,complete,RAN,Bull1,,1,,SP,1,R/L,   ,3,Y,Linear,Equal,+236-002-820+,Bull1,Bull1,Bull1:?:n,R,RAN,Y,,
53,Chandigarh,,,,,,,9101,,,Puratattva:6(1972-73):Pl.I.1,,,,,,,POT:T:g,,,,,0,0,0,0,Clay,,Fair,complete,None,None,,1,,UC,1,,     ,5,N,,,+220-000-740-550-705+,,
54,Chandigarh,,,,,,,9102,,,Puratattva:6(1972-73):Pl.I.2,,,,,,,POT:T:g,,,,,0,0,0,0,Clay,,Good,complete,None,None,,1,,UC,1,R/L,   ,3,Y,,,+740-050-705+,,
55,Chandigarh,,,,,,,9104,,,Puratattva:6(1972-73):Pl.I.4,,,,,,,POT:T:g,,,,,0,0,0,0,Clay,,Good,fragment,None,None,,1,,UC,1,,   ,3,N,,,+000-000-492[,,
56,Chanhujo-daro,,,,sq. 8/F,loc. 182,,0,CH 1954 (2),Pl. LII:35,,,,NN,rectangular,+10.8,,TAB:B,Yellow,0.75,0.47,0.25,19.05,11.9,6.35,0,Faience,BMFA 36.975,Fair,complete,None,None,Cream paste with yellow glaze. One of two but not illustrated in Mackay cf C-35. The above photo is of C-35 (CH 1954).,1,,SC,1,,   ,3,Y,,,+031-705-167+,,
57,Chanhujo-daro,,,,sq. 9/D,loc. 215,,6235,,Pl. LII:35,,,,,circular,+9.5,,TAG:P,,0.8,0.8,0.31,20.3,20.3,7.9,0,Clay,BMFA 36.982,Fair,complete,None,None,Drab colored clay, partly burnt. Square sealing.,1,,SS,1,R/L,  ,2,Y,,,+740-405+,,
58,Chanhujo-daro,,,,Trench F(2),loc. 65,,6121,CH 1269,Pl. LI:21,,,,NBVG,square,-4.1,,SEAL:S,White,0.94,0.94,0.5,23.9,23.9,0,12.7,Steatite,BMFA 36.971,Fair,complete,RBN,Bull3,,1,,SS,1,L/R,  ,2,Y,Linear,Equal,+740-386+,Bull3,Bull3,Bull3,L,RBN,Y,,
59,Chanhujo-daro,,,,sq. 7/E,loc. 97,,6131,CH 1293,Pl. LI:31,,,,PBSG,square,+14.1,,SEAL:S,Black,1.5,1.5,0.76,38.1,38.1,0,19.3,Steatite,BMFA 36.952,Fair,slightly chipped,SAN,Bull1:W,,1,,UC,1,, ,1,Y,Indefinable,Indefinable,+679+,Bull1:W,Bull1,Bull1:W:f,R,SAN,Y,,
60,Chanhujo-daro,Mound II,,,sq, 8/D,loc. 223,,6109,CH 2000,Pl. LI:9,UMP LI.9,,,PBVF,square,+12.2,,SEAL:S,Grey,0.78,0.78,0.47,19.8,19.8,7,11.9,Steatite,BMFA 36.978,Poor,complete,,Bull1:W,,1,,UC,1,R/L,  ,2,Y,Linear,Equal,+892-700+,Bull1:W,Bull1,Bull1:W,R,,N,,
61,Chanhujo-daro,,,,sq. 9/E,loc. 199,,6214,CH 2426,Pl. LII:14,,,,PBSG,square,+9.0,,SEAL:S,White,0.91,0.91,0.42,23.1,23.1,0,10.7,Steatite,BMFA 36.956,Fair,complete,RAN,Bull1:W,,1,,PP,1,R/L,    ,4,Y,Linear,Equal,+390-003-002-817+,Bull1:W,Bull1,Bull1:W:c,R,RAN,Y,,
62,Chanhujo-daro,,,,sq. 9/D,loc. 286,,6219,CH 2428,Pl. LII:19,,,,PBSG,square,+9.7,,SEAL:S,Brown,1.0,1.0,0.49,25.4,25.4,8.8,12.4,Steatite,BMFA 36.957, UMP L.1.?,Good,complete,SAF,Bull1:W,,1,,UC,1,R/L,       ,7,N,Linear,Equal,+000-100-240-220-032-002-861+,Bull1:W,Bull1,Bull1:W:c,R,SAF,Y,,
63,Chanhujo-daro,,,,sq. 8/D,loc. 178,,6215,CH 2431,Pl. LII:15,,,,,square,+9.6,,SEAL:S,White,1.01,1.01,0.47,25.7,25.7,11.9,0,Steatite,lost seal,Poor,chipped,SAN,Bull1:J,cf CH 3045,1,,UC,1,R/L,      ,6,N,Strong linear,Equal,]000-220-838-033-705-240+,Bull1:J,Bull1,Bull1:J:c,R,SAN,Y,,
64,Chanhujo-daro,,,,sq. 8/D,loc. 82,,6133,CH 2462,Pl. LI:33,,,,PBSG,square,+9.5,,SEAL:S,White,1.44,1.44,0.75,36.6,36.6,0,19.05,Steatite,BMFA 36.953,Good,complete,HAF,Bull1:W,,1,,LC,1,R/L,       ,7,Y,Linear,Unequal,+842-032-031-592-031-060-920+,Bull1:W,Bull1,Bull1:W:n,R,HAF,Y,,
65,Chanhujo-daro,,,,sq. 8/C,loc. 151,,6226,CH 2467,Pl. LII:26,,,,PBSG,square,+10.5,,SEAL:S,White,1.12,1.12,0.6,28.4,28.4,0,15.2,Steatite,BMFA 36.954,Good,complete,SAN,Bull1:V,,1,,PP,1,R/L,   ,3,Y,Squeezed,Increasing,+740-482-235+,Bull1:V,Bull1,Bull1:V:n,R,SAN,Y,,
66,Chanhujo-daro,,,,sq. 8/C,loc. 297,,6223,CH 2529 (CC),Pl. LII:23,,,,PBSG,square,+10.4,,SEAL:S,White,0.81,0.82,0.43,20.6,20.8,0,10.9,Steatite,BMFA 36.962,Good,complete,SAN,Bull1:J,,1,,SP,1,R/L,     ,5,Y,Linear,Equal,+390-844-060-575-717+,Bull1:J,Bull1,Bull1:J:c,R,SAN,Y,,
67,Chanhujo-daro,,,,sq. 9/C,loc. 228,,6120,CH 2594 (h),Pl. LI:20,,,,PBVG,square,+9.9,,SEAL:S,White,1.08,1.09,0.51,27.4,27.7,0,13,Steatite,BMFA 36.970,Poor,complete,None,Elep,,1,,PP,1,R/L,    ,4,Y,Linear,Unequal,+740-531-060-692+,Elep,Elep,Elep,R,None,Y,,
68,Chanhujo-daro,,,,sq. 9/D,loc. 192,,6201,CH 2597,Pl. LII:1,,,,PBSG,square,+8.9,,SEAL:S,White,1.33,1.37,0.68,33.8,34.8,0,17.3,Steatite,BMFA 36.966,Poor,complete,RAN,Bull1,Seal is broken into fragments.,1,,PP,1,R/L,     ,5,Y,Partly linear,Adapted,+740-067-741-647-892+,Bull1,Bull1,Bull1:?:n,R,RAN,N,,
69,Chanhujo-daro,,,,sq; 6/F,loc. 159,,6224,CH 2605,Pl. LII:24,,,,PBSG,square,+8.4,,SEAL:S,White,1.1,1.09,0.51,27.9,27.7,0,13,Steatite,BMFA 36.961,Good,complete,SAN,Bull1:W,,1,,SP,1,R/L,     ,5,Y,Partly linear,Equal,+740-176-032-002-861+,Bull1:W,Bull1,Bull1:W:c,R,SAN,Y,,
70,Chanhujo-daro,,,,sq. 8/E,loc. 425,,6202,CH 2848,Pl. LII:2,,,,,square,+8.0,,SEAL:S,White,0.83,0.83,0.4,21.1,21.1,0,10.2,Steatite,lost seal,Fair,complete,R,Bull1:II,,1,,2L,2,R/L,       ,6,Y,Linear,Unequal,+032-031/151-740-240-235+,Bull1:II,Bull1,Bull1:II:c,R,R,Y,,
71,Chanhujo-daro,,,,sq. 9/D,loc. 211,,6124,CH 3051,Pl. LI:24,,,,PB,square,+8.1,,SEAL:S,White,1.5,1.5,,38.1,38.1,0,0,Steatite,BMFA 36.967,Fair,fragment,,Bull1,Listed in CISI 3.2 as part of CH 2558.,1,,2L,2,R/L,        ,7,Y,Unordered,Unequal,+032-031/740-222-235-002-861+,Bull1,Bull1,Bull1:?:n,R,,N,,
72,Chanhujo-daro,,,,sq. 8/E,loc. 113,,6113,CH 3148,Pl. LI:13,,,,,square,+6.8,,SEAL:S,White,1.38,1.41,0.73,35.1,35.8,0,18.6,Steatite,lost seal,Fair,complete,Trough,Gaur,,1,,2L,2,R/L,         ,8,Y,Unordered,Unequal,+032-031/850-032-530-740-741-456+,Gaur,Gaur,Gaur,R,Trough,Y,,
73,Chanhujo-daro,,,,sq. 9/C,loc. 395,,6218,CH 3154,Pl. LII:18,,,,PBSG,square,+7.7,,SEAL:S,White,0.89,0.88,0.41,22.6,22.4,0,10.4,Steatite,BMFA 36.965,Poor,complete,RAN,Bull1,,1,,2L,2,R/L,      ,5,Y,Unordered,Unequal,+032-031/740-791-713+,Bull1,Bull1,Bull1:?:n,R,RAN,Y,,
74,Chanhujo-daro,,,,sq. 9/D,loc. 211,,6204,CH 3168,Pl. LII:4,,,,?B,square,+8.1,,SEAL:S,White,1.17,,0.42,29.7,0,0,10.7,Steatite,BMFA 36.968,Poor,fragment,,Bull1,,1,,2L,2,R/L,        ,7,Y,Linear,Unequal,+032-031/740-222-235-002-861+,Bull1,Bull1,Bull1,R,,N,,
75,Chanhujo-daro,,,,sq. 9/D,loc. 204,,6211,CH 3206,Pl. LII:11,,,,PB,square,+6.9,,SEAL:S,White,0.5,0.5,0.37,12.7,12.7,0,9.4,Steatite,BMFA 36.974,Poor,chipped,,,,1,,2L,2,L/R,     ,4,Y,Linear,Equal,+032/226-032-817+,,
76,Chanhujo-daro,,,,sq. 9/D,loc. 283,,6114,CH 3215,Pl. LI:14,,,,PBSG,square,+6.9,,SEAL:S,White,0.78,0.75,0.43,19.8,19.05,0,10.9,Steatite,BMFA 36.973,Fair,complete,Trough,Gaur,,1,,PP,1,R/L,   ,3,Y,Partly linear,Unequal,+125-002-861+,Gaur,Gaur,Gaur,R,Trough,Y,,
77,Chanhujo-daro,,,,sq. 10/F,loc. 423,,6228,CH 3318,Pl. LII:28,,,,PBSG,square,+6.7,,SEAL:S,White,1.65,1.65,0.8,41.9,41.9,0,20.3,Steatite,BMFA 36.951,Fine,complete,SAF,Bull1:W,,1,,PP,1,R/L,    ,4,Y,Strong linear,Equal,+151-740-100-240+,Bull1:W,Bull1,Bull1:W:c,R,SAF,Y,,
78,Chanhujo-daro,,,,sq. 7/F,loc. 110,,6203,CH 3359,Pl. LII:3,,,,,square,+7.1,,SEAL:S,White,0.71,0.7,0.42,18,17.8,0,10.7,Steatite,lost seal,Poor,partly damaged,,Bull1,,1,,2L,2,,         ,8,N,Linear,Unequal,+000-000-000/000-861-002-906-003+,Bull1,Bull1,Bull1:?:n,R,,Y,,
79,Chanhujo-daro,,,,sq. 8/C,loc. 231,,6130,CH 3485 (a),Pl. LI:30,,,,PBSG,square,+7.2,,SEAL:S,Yellow,1.24,1.24,0.6,31.5,31.5,0,15.2,Steatite,BMFA 36.960,Good,complete,RBF,Bull1:I,,1,,SC,1,R/L,   ,3,Y,Linear,Unequal,+001-368-767+,Bull1:I,Bull1,Bull1:I:n,R,RBF,Y,,
80,Chanhujo-daro,,,,sq. 8/C,loc. 289,,6232,CH 3492,Pl. LII::32,,,,PBSG,square,+8.6,,SEAL:S,Grey,1.08,1.07,0.55,27.4,27.2,0,14,Steatite,BMFA 36.958,Good,complete,SAN,Bull1,,1,,UC,1,R/L,  ,2,Y,Linear,Equal,+526-388+,Bull1,Bull1,Bull1:S:c,R,SAN,Y,,
81,Chanhujo-daro,,,,sq. 7/C,loc. 240,,6112,CH 3493,Pl. LI:12,UMP LI.12,,,NBSF,square,+7.2,,SEAL:S,Grey,0.75,0.75,0.42,19.05,19.05,4.6,10.7,Steatite,BMFA 36.976,Fair,complete,None,None,,1,,2L,2,R/L,      ,5,Y,Linear,Equal,+740-636-240/002-817+,,
82,Chanhujo-daro,,,Cutting,sq. 8/C,loc. 289,,6229,CH 3811,Pl. LII:29,,,,PBSG,square,+8.6,,SEAL:S,Grey,1.2,1.2,0.64,30.5,30.5,0,16.3,Steatite,BMFA 36.955,Fair,complete,SAF,Bull1:W,,1,,LP,1,R/L,       ,7,N,Linear,Adapted,+740-032-840-002-296-530-000+,Bull1:W,Bull1,Bull1:W:n,R,SAF,Y,,
83,Chanhujo-daro,,,,sq. 8/E,loc.430,,6126,CH 3817,Pl. LI:26,,,,PBSG,square,+7.3,,SEAL:S,White,1.05,1.05,0.55,26.7,26.7,0,14,Steatite,BMFA 36.963,Poor,chipped,SAN,Bull1:S,,1,,UC,1,R/L,     ,5,N,Linear,Adapted,]176-220-415-060-920+,Bull1:S,Bull1,Bull1:S:c,R,SAN,Y,,
84,Chanhujo-daro,Mound I,,,sq. 13/J,loc. 6,,6208,CH 3886,Pl. LII:8,,,,NN,rectangular,+16.8,,SEAL:R,Grey,1.13,,0.33,28.7,17,8.4,0,Steatite,BMFA 36.979,Poor,fragment,,,,1,,UC,1,R/L,    ,4,N,Linear,Indefinable,+000-000-002-820+,,
85,Chanhujo-daro,Mound I,,,sq. 13/J,loc. 2,,6225,CH 4596,Pl. LII:25,,,,PBSG,square,+14.4,,SEAL:S,White,1.01,1.01,0.5,25.7,25.7,0,12.7,Steatite,BMFA 36.959,Fine,complete,SAN,Bull1:S,,1,,SS,1,R/L,  ,2,Y,Strong linear,Equal,+161-055+,Bull1:S,Bull1,Bull1:S:c,R,SAN,Y,,
86,Chanhujo-daro,Mound II,,,Trench F(I),loc. 42,,6305,CH 4789,PL. XXXVIII:5,,,,,,-3.1,,POT:T:g,,,,,152,192,0,0,Clay,CE: sent to America,Poor,fragment,None,None,,1,,2L,2,R/L,    ,3,?,,,+790/740-055[,,
87,Chanhujo-daro,Mound I,,,sq. 13/J,loc. 9,,6217,CH 4960,Pl. LII:17,,,,PBSG,square,+13.5,,SEAL:S,Grey,0.9,0.9,0.42,22.9,22.9,0,10.7,Steatite,BMFA 36.964,Poor,complete,SAN,Bull1:S,,1,,SP,1,R/L,     ,5,Y,Partly linear,Adapted,+520-233-803-002-817+,Bull1:S,Bull1,Bull1:S:c,R,SAN,Y,,
88,Chanhujo-daro,,,,Trench E(1),loc. 34,,6118,CH 926,Pl. LI:18,,,,,square,-7.1,,SEAL:S,White,0.96,0.92,0.5,24.4,23.4,12.7,0,Steatite,lost seal,Fair,complete,None,T-A-T,,1,,2L,2,R/L,     ,4,Y,Unordered,Unequal,+151-690/032-031+,T-A-T,T-A-T,T-A-T,,None,Y,,
89,Chanhujo-daro,Mound I,,,sq. 12/K,loc. 26,,6125,CH 3817,Pl. LI:25,ASI 63.10.4,,,PBSG,square,+14.1,,SEAL:S,Black,2.02,1.49,0.1,51.3,37.8,2.5,0,Steatite,,Fair,complete,None,Bull1,,1,,LC,1,R/L,         ,9,Y,Partly linear,Equal,+031-840-140-740-101-002-365-287-034+,Bull1,Bull1,Bull1,R,None,Y,,
90,Chanhujo-daro,,,,sq. 10/E,loc. 261,,6128,CH 2293,Pl. LI:28,ASI 63.12.24,,,PB,square,+9.3,,SEAL:S,White,1.4,1.36,0.73,35.6,34.5,0,18.5,Steatite,,Good,complete,SAN,Bull1:L,,1,,SS,1,R/L,   ,3,Y,Strong linear,Equal,+740-390-590+,Bull1,Bull1,Bull1:L:c,R,SAN,Y,,
91,Chanhujo-daro,,,,sq. 7/C,loc. 240,,6230,CH 2389,Pl. LII:30,ASI 63.12.23,,,PB,square,+9.2,,SEAL:S,Grey,1.25,1.25,0.69,31.75,31.75,0,17.5,Steatite,,Good,complete,SAN,Bull1:W,,1,,PP,1,R/L,     ,5,Y,Strong linear,Equal,+740-016-002-920-317+,Bull1,Bull1,Bull1:W:c,R,SAN,Y,,
92,Chanhujo-daro,Mound II,,,sq. 8/B,loc. 235,,6206,CH 2390,Pl. LII:6,ASI 63.12.14,,,PB,square,+9.9,,SEAL:S,White,1.18,1.2,0.7,30,30.5,0,17.8,Steatite,,Fair,complete,RAN,Bull1:L,,1,,SP,1,R/L,     ,5,Y,Linear,Adapted,+520-235-803-002-817+,Bull1,Bull1,Bull1:L:c,R,RAN,Y,,
93,Chanhujo-daro,,,,sq. 9/C,loc. 227,,6132,CH 2361,Pl. LI:32,ASI 63.12.22,,,PB,square,+10.9,,SEAL:S,White,1.3,1.3,0.52,33,33,0,13.2,Steatite,,Fine,complete,RAF,Bull1:I,,1,,SP,1,R/L,      ,6,Y,Unordered,Adapted,+740-140-717-002-298-741+,Bull1,Bull1,Bull1:I:n,R,RAF,Y,,
94,Chanhujo-daro,,,Cut.,sq. 9/D,loc. 469,,6205,CH 4852,Pl. LII:5,ASI 63.11.236,,,PB,square,-2.8,,SEAL:S,White,1.13,1.13,0.51,28.7,28.7,0,12.95,Steatite,,Poor,complete,RAN,Bull1:J,,1,,2L,2,R/L,          ,9,Y,Partly linear,Adapted,+817-521-521/090-740-221-002-031-500+,Bull1,Bull1,Bull1:J:cn,R,RAN,Y,,
95,Chanhujo-daro,Mound I,,,sq. 12/K,loc. 20,,6207,CH 4327,Pl. LII:7,ASI 63.12.8,,,PB,square,+14.8,,SEAL:S,White,0.9,0.52,0.39,22.9,13.2,0,9.9,Steatite,,Poor,fragment,,Bull,,1,,LP,1,R/L,       ,7,N,Linear,Equal,+520-033-705-240-798-002-000[,Bull,Bull,Bull,R,,N,,
96,Chanhujo-daro,,,,sq. 7/F,loc. 189,,6227,CH 2468,Pl. LII:27,ASI 63.12.1,,,PB,square,+9.8,,SEAL:S,White,1.1,1.09,0.55,27.9,27.7,0,14,Steatite,,Fine,complete,SAN,Bull1:J,,1,MD-CD#1,SP,1,R/L,      ,6,Y,Linear,Adapted,+740-803-233-741-250-579+,Bull1,Bull1,Bull1:J:c,R,SAN,Y,,
97,Chanhujo-daro,,,,sq. 8/E,loc. 177,,6127,CH 3045,Pl. LI:27,ASI 63.12.21,,,PB,square,+7.6,,SEAL:S,White,1.1,1.09,0.61,27.9,27.7,0,15.5,Steatite,,Good,complete,SAN,Bull1:J,,1,,SC,1,R/L,      ,6,Y,Partly linear,Adapted,+151-233-803-033-705-240+,Bull1,Bull1,Bull1:J:c,R,SAN,Y,,
98,Chanhujo-daro,,,,sq. 9/D,loc. 174,,6129,CH 2297,Pl. LI:29,ASI 63.12.5,,,PB,square,+10,,SEAL:S,White,1.1,1.1,0.41,27.9,27.9,0,10.4,Steatite,,Poor,complete,SAN,Bull1:W,Upper left corner is missing,1,,SP,1,R/L,      ,6,Y,Linear,Adapted,+740-231-220-032-002-817+,Bull1,Bull1,Bull1:W:c,R,SAN,Y,,
99,Chanhujo-daro,,,,sq. 9/C,loc. 296,,6220,CH 2559,Pl. LII:20,ASI 63.12.2,,,PB,square,+9.5,,SEAL:S,White,1,1,0.52,25.4,25.4,0,13.2,Steatite,,Poor,complete,,Bull1:I,,1,,2L,2,R/L,         ,8,Y,Linear,Unequal,+590-615-140/232-240-001-060-920+,Bull1,Bull1,Bull1:I:c,R,,N,,
